,date,sender,sender.carrier,receiver,receiver.carrier,length.call
1,1,378.328.3795,1,621.761.4646,3,1
2,1,378.328.3795,1,378.328.5698,1,21
3,1,378.328.3795,1,378.328.5646,1,21
4,1,378.328.5535,1,621.761.9529,3,1
5,1,378.328.5535,1,378.328.7888,1,1
6,1,378.328.5535,1,621.761.9826,3,22
7,1,378.328.5535,1,621.761.8354,3,23
8,1,378.328.5535,1,621.761.2920,3,20
9,1,378.328.5535,1,378.328.6114,1,1
10,1,378.328.3833,1,621.761.5998,3,39
11,1,378.328.3833,1,378.328.1672,1,1
12,1,378.328.3833,1,871.845.6647,2,17
13,1,378.328.3833,1,621.761.5998,3,20
14,1,378.328.3833,1,621.761.8323,3,22
15,1,378.328.3833,1,621.761.9229,3,28
16,1,378.328.3833,1,378.328.4468,1,14
17,1,378.328.3833,1,378.328.5535,1,26
18,1,378.328.3833,1,378.328.6156,1,1
19,1,378.328.8028,1,871.845.6647,2,43
20,1,378.328.8028,1,621.761.2794,3,20
21,1,378.328.8028,1,621.761.8274,3,22
22,1,378.328.7314,1,621.761.9529,3,26
23,1,378.328.7314,1,871.845.6647,2,22
24,1,378.328.7314,1,621.761.9826,3,1
25,1,378.328.7314,1,871.845.3092,2,1
26,1,378.328.7314,1,871.845.7438,2,26
27,1,378.328.7314,1,621.761.1153,3,1
28,1,378.328.7314,1,621.761.4646,3,19
29,1,378.328.7314,1,378.328.3795,1,1
30,1,378.328.7314,1,621.761.9529,3,32
31,1,378.328.4468,1,621.761.5998,3,29
32,1,378.328.4468,1,871.845.3092,2,24
33,1,378.328.4468,1,621.761.2041,3,34
34,1,378.328.4468,1,621.761.6485,3,1
35,1,378.328.4468,1,378.328.3890,1,18
36,1,378.328.4468,1,871.845.1665,2,29
37,1,378.328.4468,1,621.761.2041,3,17
38,1,378.328.8023,1,621.761.9529,3,33
39,1,378.328.8023,1,378.328.6893,1,28
40,1,378.328.8023,1,378.328.3890,1,22
41,1,378.328.8023,1,621.761.1705,3,30
42,1,378.328.8023,1,621.761.9529,3,1
43,1,378.328.8023,1,378.328.3795,1,33
44,1,378.328.8023,1,378.328.8028,1,25
45,1,378.328.2922,1,621.761.4646,3,1
46,1,378.328.2922,1,378.328.1672,1,22
47,1,378.328.2922,1,621.761.8354,3,30
48,1,378.328.2922,1,871.845.7438,2,1
49,1,378.328.2922,1,378.328.1672,1,32
50,1,378.328.2922,1,378.328.6114,1,23
51,1,378.328.2922,1,621.761.1153,3,30
52,1,378.328.7888,1,871.845.5897,2,1
53,1,378.328.7888,1,871.845.7438,2,35
54,1,378.328.7888,1,871.845.7438,2,24
55,1,378.328.7888,1,378.328.6156,1,1
56,1,378.328.7888,1,378.328.7180,1,24
57,1,378.328.7888,1,871.845.4869,2,30
58,1,378.328.7888,1,378.328.1590,1,29
59,1,378.328.7888,1,378.328.8028,1,29
60,1,378.328.7888,1,871.845.7438,2,26
61,1,378.328.7888,1,871.845.4869,2,20
62,1,378.328.7888,1,378.328.3795,1,20
63,1,378.328.6114,1,621.761.8323,3,39
64,1,378.328.6114,1,871.845.6647,2,33
65,1,378.328.6114,1,378.328.6156,1,1
66,1,378.328.6114,1,871.845.4869,2,32
67,1,378.328.6114,1,378.328.1240,1,26
68,1,378.328.6156,1,378.328.1672,1,32
69,1,378.328.6156,1,871.845.9600,2,19
70,1,378.328.6156,1,871.845.3092,2,25
71,1,378.328.6156,1,621.761.9826,3,23
72,1,378.328.6156,1,378.328.3335,1,27
73,1,378.328.6156,1,378.328.4804,1,1
74,1,378.328.6156,1,378.328.1672,1,21
75,1,378.328.3316,1,871.845.1665,2,1
76,1,378.328.3316,1,621.761.9826,3,21
77,1,378.328.3316,1,871.845.1330,2,27
78,1,378.328.3316,1,621.761.9826,3,21
79,1,378.328.4722,1,378.328.2622,1,19
80,1,378.328.4722,1,621.761.5998,3,16
81,1,378.328.4722,1,871.845.7451,2,1
82,1,378.328.4722,1,871.845.5897,2,40
83,1,378.328.4722,1,621.761.9186,3,22
84,1,378.328.1672,1,621.761.2041,3,32
85,1,378.328.1672,1,621.761.2794,3,24
86,1,378.328.1672,1,621.761.9186,3,18
87,1,378.328.1672,1,378.328.3890,1,25
88,1,378.328.5698,1,621.761.8354,3,19
89,1,378.328.5698,1,378.328.7888,1,22
90,1,378.328.5698,1,378.328.1590,1,12
91,1,378.328.5698,1,871.845.7451,2,27
92,1,378.328.5698,1,378.328.3795,1,26
93,1,378.328.5698,1,378.328.1240,1,1
94,1,378.328.1240,1,378.328.1590,1,1
95,1,378.328.1240,1,378.328.3890,1,1
96,1,378.328.1240,1,378.328.8028,1,22
97,1,378.328.1240,1,621.761.6485,3,1
98,1,378.328.1240,1,871.845.4869,2,22
99,1,378.328.2622,1,871.845.1665,2,22
100,1,378.328.2622,1,621.761.2794,3,18
101,1,378.328.1715,1,378.328.1240,1,46
102,1,378.328.1715,1,621.761.8354,3,24
103,1,378.328.1715,1,378.328.1672,1,23
104,1,378.328.1715,1,378.328.6156,1,27
105,1,378.328.1590,1,378.328.5698,1,23
106,1,378.328.1590,1,621.761.9529,3,24
107,1,378.328.1590,1,378.328.4722,1,33
108,1,378.328.1590,1,621.761.9229,3,33
109,1,378.328.1590,1,871.845.7438,2,1
110,1,378.328.1590,1,378.328.3833,1,26
111,1,378.328.1590,1,378.328.3335,1,21
112,1,378.328.1590,1,621.761.9826,3,16
113,1,378.328.1590,1,621.761.2794,3,25
114,1,378.328.1590,1,621.761.9186,3,28
115,1,378.328.3335,1,621.761.9229,3,1
116,1,378.328.3335,1,621.761.2041,3,32
117,1,378.328.3335,1,621.761.8836,3,26
118,1,378.328.6893,1,621.761.2920,3,1
119,1,378.328.6893,1,621.761.8331,3,31
120,1,378.328.6893,1,378.328.1411,1,33
121,1,378.328.6893,1,871.845.1665,2,32
122,1,378.328.6893,1,621.761.2041,3,24
123,1,378.328.4373,1,378.328.1411,1,24
124,1,378.328.4373,1,621.761.9826,3,27
125,1,378.328.4373,1,621.761.9529,3,35
126,1,378.328.4373,1,378.328.6156,1,31
127,1,378.328.4373,1,621.761.2920,3,16
128,1,378.328.4373,1,621.761.8274,3,29
129,1,378.328.5013,1,378.328.4468,1,22
130,1,378.328.5013,1,378.328.5646,1,22
131,1,378.328.5013,1,621.761.2920,3,28
132,1,378.328.5013,1,378.328.2922,1,16
133,1,378.328.5013,1,621.761.9529,3,29
134,1,378.328.5013,1,621.761.8354,3,22
135,1,378.328.5646,1,378.328.5535,1,1
136,1,378.328.5646,1,378.328.3795,1,34
137,1,378.328.5646,1,621.761.2794,3,17
138,1,378.328.5646,1,378.328.6156,1,23
139,1,378.328.5646,1,621.761.2794,3,17
140,1,378.328.7180,1,621.761.9826,3,1
141,1,378.328.7180,1,621.761.9186,3,21
142,1,378.328.7180,1,378.328.1715,1,17
143,1,378.328.7180,1,621.761.4646,3,19
144,1,378.328.7180,1,621.761.4646,3,34
145,1,378.328.7180,1,621.761.4646,3,28
146,1,378.328.7180,1,621.761.8274,3,22
147,1,378.328.3633,1,378.328.3795,1,34
148,1,378.328.3633,1,871.845.7451,2,38
149,1,378.328.3633,1,621.761.8323,3,15
150,1,378.328.3633,1,621.761.4646,3,1
151,1,378.328.3633,1,621.761.2041,3,19
152,1,378.328.3633,1,378.328.8028,1,27
153,1,378.328.3633,1,378.328.3833,1,15
154,1,378.328.1620,1,378.328.1672,1,14
155,1,378.328.1620,1,871.845.5897,2,19
156,1,378.328.1620,1,621.761.2794,3,21
157,1,378.328.1620,1,621.761.8323,3,19
158,1,378.328.1411,1,871.845.6647,2,23
159,1,378.328.1411,1,378.328.3795,1,24
160,1,378.328.1411,1,621.761.8354,3,29
161,1,378.328.1411,1,621.761.2794,3,22
162,1,378.328.1411,1,621.761.8331,3,36
163,1,378.328.1411,1,378.328.6893,1,18
164,1,378.328.1411,1,871.845.4869,2,39
165,1,378.328.3890,1,378.328.8028,1,24
166,1,378.328.3890,1,378.328.1715,1,27
167,1,378.328.3890,1,621.761.2886,3,25
168,1,378.328.3890,1,621.761.4646,3,1
169,1,378.328.3890,1,621.761.5998,3,27
170,1,378.328.3890,1,871.845.4869,2,22
171,1,378.328.4804,1,621.761.2041,3,19
172,1,378.328.4804,1,621.761.9229,3,19
173,1,378.328.4804,1,378.328.3833,1,30
174,1,378.328.4804,1,378.328.5646,1,21
175,1,378.328.4804,1,378.328.4468,1,27
176,1,378.328.4804,1,621.761.9529,3,1
177,1,871.845.1665,2,378.328.6156,1,1
178,1,871.845.1665,2,621.761.9229,3,15
179,1,871.845.1665,2,621.761.2794,3,19
180,1,871.845.7438,2,871.845.4502,2,33
181,1,871.845.7438,2,621.761.6485,3,26
182,1,871.845.7438,2,621.761.2920,3,1
183,1,871.845.4502,2,378.328.3890,1,29
184,1,871.845.4502,2,871.845.1665,2,23
185,1,871.845.1330,2,871.845.9600,2,1
186,1,871.845.1330,2,378.328.1672,1,1
187,1,871.845.6647,2,621.761.9826,3,1
188,1,871.845.6647,2,378.328.7180,1,25
189,1,871.845.9600,2,378.328.5698,1,1
190,1,871.845.9600,2,871.845.6647,2,17
191,1,871.845.9600,2,871.845.4869,2,36
192,1,871.845.9600,2,621.761.9186,3,25
193,1,871.845.9600,2,378.328.1240,1,25
194,1,871.845.9600,2,378.328.3795,1,27
195,1,871.845.9600,2,621.761.6485,3,35
196,1,871.845.9600,2,871.845.4869,2,26
197,1,871.845.9600,2,378.328.1411,1,24
198,1,871.845.4869,2,378.328.1715,1,16
199,1,871.845.7451,2,871.845.1665,2,31
200,1,871.845.7451,2,871.845.1330,2,23
201,1,871.845.7451,2,621.761.9826,3,18
202,1,871.845.7451,2,621.761.2794,3,35
203,1,871.845.3092,2,378.328.6156,1,28
204,1,871.845.3092,2,871.845.4502,2,22
205,1,871.845.3092,2,621.761.6485,3,1
206,1,871.845.3092,2,621.761.9529,3,22
207,1,871.845.3092,2,378.328.2622,1,27
208,1,871.845.3092,2,621.761.9529,3,16
209,1,871.845.5897,2,871.845.7438,2,34
210,1,871.845.5897,2,378.328.6156,1,20
211,1,871.845.5897,2,621.761.9186,3,1
212,1,871.845.5897,2,621.761.9529,3,19
213,1,871.845.5897,2,871.845.9600,2,1
214,1,621.761.2886,3,378.328.5646,1,19
215,1,621.761.2886,3,621.761.9229,3,1
216,1,621.761.2886,3,378.328.3833,1,27
217,1,621.761.2886,3,621.761.6485,3,25
218,1,621.761.2886,3,621.761.8354,3,1
219,1,621.761.2886,3,871.845.5897,2,1
220,1,621.761.2886,3,378.328.4468,1,27
221,1,621.761.5998,3,378.328.4722,1,1
222,1,621.761.5998,3,871.845.5897,2,27
223,1,621.761.5998,3,378.328.5698,1,1
224,1,621.761.5998,3,378.328.3833,1,1
225,1,621.761.5998,3,621.761.9529,3,19
226,1,621.761.5998,3,621.761.9826,3,34
227,1,621.761.1153,3,621.761.1705,3,30
228,1,621.761.1153,3,378.328.3633,1,29
229,1,621.761.1153,3,378.328.6156,1,1
230,1,621.761.4646,3,871.845.4869,2,35
231,1,621.761.4646,3,378.328.5646,1,32
232,1,621.761.4646,3,871.845.6647,2,13
233,1,621.761.4646,3,871.845.3092,2,21
234,1,621.761.8354,3,378.328.8028,1,1
235,1,621.761.8354,3,871.845.4502,2,1
236,1,621.761.8354,3,621.761.4646,3,27
237,1,621.761.8354,3,378.328.5535,1,18
238,1,621.761.8354,3,378.328.1590,1,21
239,1,621.761.8354,3,621.761.2041,3,25
240,1,621.761.8354,3,871.845.9600,2,22
241,1,621.761.5427,3,378.328.1411,1,21
242,1,621.761.5427,3,378.328.3316,1,26
243,1,621.761.5427,3,378.328.1240,1,23
244,1,621.761.5427,3,871.845.4869,2,1
245,1,621.761.5427,3,621.761.2041,3,1
246,1,621.761.8331,3,378.328.6156,1,1
247,1,621.761.8331,3,378.328.6156,1,28
248,1,621.761.8331,3,621.761.1153,3,35
249,1,621.761.8331,3,621.761.2920,3,25
250,1,621.761.8331,3,621.761.5998,3,22
251,1,621.761.8331,3,621.761.4646,3,22
252,1,621.761.8331,3,378.328.6156,1,21
253,1,621.761.8331,3,378.328.5698,1,15
254,1,621.761.8331,3,621.761.6485,3,19
255,1,621.761.8323,3,871.845.1665,2,1
256,1,621.761.8323,3,871.845.4502,2,24
257,1,621.761.8323,3,621.761.1153,3,28
258,1,621.761.8323,3,378.328.5535,1,1
259,1,621.761.8323,3,871.845.4502,2,31
260,1,621.761.8323,3,621.761.8274,3,1
261,1,621.761.9256,3,871.845.9600,2,25
262,1,621.761.9256,3,871.845.5897,2,24
263,1,621.761.9256,3,378.328.5535,1,18
264,1,621.761.9256,3,621.761.8331,3,25
265,1,621.761.9256,3,621.761.9229,3,15
266,1,621.761.9256,3,621.761.4646,3,26
267,1,621.761.9256,3,871.845.7438,2,27
268,1,621.761.9256,3,378.328.2622,1,17
269,1,621.761.9256,3,871.845.7451,2,34
270,1,621.761.9256,3,621.761.9826,3,1
271,1,621.761.2041,3,378.328.6893,1,45
272,1,621.761.2041,3,378.328.5646,1,39
273,1,621.761.2041,3,621.761.6485,3,34
274,1,621.761.2041,3,378.328.7180,1,22
275,1,621.761.2041,3,378.328.4804,1,1
276,1,621.761.9529,3,378.328.8028,1,20
277,1,621.761.9529,3,621.761.6485,3,35
278,1,621.761.9529,3,621.761.2794,3,1
279,1,621.761.9529,3,621.761.2041,3,27
280,1,621.761.9529,3,378.328.6156,1,20
281,1,621.761.9529,3,621.761.2794,3,20
282,1,621.761.9529,3,378.328.6156,1,15
283,1,621.761.9529,3,621.761.9229,3,13
284,1,621.761.9529,3,378.328.4468,1,20
285,1,621.761.8836,3,378.328.3890,1,32
286,1,621.761.8836,3,378.328.8028,1,27
287,1,621.761.8836,3,378.328.3890,1,33
288,1,621.761.8836,3,378.328.1672,1,25
289,1,621.761.9229,3,871.845.6647,2,16
290,1,621.761.9229,3,378.328.1620,1,22
291,1,621.761.9229,3,621.761.8354,3,18
292,1,621.761.9229,3,378.328.6893,1,27
293,1,621.761.9229,3,871.845.3092,2,30
294,1,621.761.9229,3,378.328.8028,1,1
295,1,621.761.9229,3,871.845.4502,2,19
296,1,621.761.9229,3,871.845.5897,2,25
297,1,621.761.2920,3,378.328.1672,1,13
298,1,621.761.2920,3,621.761.6485,3,13
299,1,621.761.2920,3,621.761.8331,3,15
300,1,621.761.2920,3,378.328.7888,1,34
301,1,621.761.2920,3,621.761.2041,3,1
302,1,621.761.2920,3,378.328.1672,1,1
303,1,621.761.2920,3,378.328.5535,1,1
304,1,621.761.2920,3,871.845.1665,2,13
305,1,621.761.2920,3,378.328.6156,1,25
306,1,621.761.2920,3,378.328.3890,1,30
307,1,621.761.2920,3,621.761.8354,3,27
308,1,621.761.1705,3,378.328.3833,1,1
309,1,621.761.1705,3,621.761.4646,3,1
310,1,621.761.1705,3,871.845.9600,2,13
311,1,621.761.1705,3,621.761.9529,3,20
312,1,621.761.9186,3,378.328.8023,1,28
313,1,621.761.9186,3,871.845.5897,2,27
314,1,621.761.9186,3,378.328.4804,1,25
315,1,621.761.9186,3,378.328.2622,1,23
316,1,621.761.9186,3,871.845.1665,2,1
317,1,621.761.9186,3,378.328.7180,1,20
318,1,621.761.9186,3,378.328.8028,1,20
319,1,621.761.8274,3,378.328.3335,1,17
320,1,621.761.8274,3,378.328.7180,1,1
321,1,621.761.8274,3,871.845.1665,2,1
322,1,621.761.8274,3,378.328.3833,1,28
323,1,621.761.8274,3,378.328.5013,1,21
324,1,621.761.8274,3,378.328.6156,1,1
325,1,621.761.8274,3,621.761.9826,3,1
326,1,621.761.6485,3,621.761.2920,3,19
327,1,621.761.6485,3,871.845.1330,2,26
328,1,621.761.6485,3,871.845.4502,2,1
329,1,621.761.6485,3,621.761.9529,3,25
330,1,621.761.6485,3,621.761.8354,3,23
331,1,621.761.9826,3,378.328.3316,1,1
332,1,621.761.9826,3,378.328.1672,1,30
333,1,621.761.9826,3,378.328.1411,1,1
334,1,621.761.9826,3,378.328.3795,1,28
335,1,621.761.9826,3,621.761.8274,3,19
336,1,621.761.2794,3,621.761.2041,3,29
337,1,621.761.2794,3,621.761.8274,3,15
338,1,621.761.2794,3,378.328.3833,1,30
339,1,621.761.2794,3,378.328.7180,1,1
340,1,621.761.2794,3,871.845.1665,2,35
341,1,621.761.2794,3,621.761.1153,3,20
342,1,621.761.2794,3,378.328.1672,1,1
343,1,621.761.2794,3,621.761.9529,3,33
344,1,621.761.2794,3,378.328.6893,1,1
345,2,378.328.3795,1,871.845.3092,2,26
346,2,378.328.3795,1,378.328.6114,1,27
347,2,378.328.3795,1,621.761.2041,3,17
348,2,378.328.3795,1,621.761.9186,3,1
349,2,378.328.3795,1,621.761.4646,3,21
350,2,378.328.3795,1,621.761.2920,3,23
351,2,378.328.3795,1,621.761.9826,3,1
352,2,378.328.3795,1,621.761.8836,3,1
353,2,378.328.5535,1,621.761.1153,3,23
354,2,378.328.5535,1,378.328.3890,1,28
355,2,378.328.5535,1,378.328.5698,1,16
356,2,378.328.5535,1,378.328.5646,1,21
357,2,378.328.5535,1,378.328.5698,1,26
358,2,378.328.5535,1,621.761.8354,3,28
359,2,378.328.3833,1,378.328.7180,1,1
360,2,378.328.3833,1,871.845.1665,2,21
361,2,378.328.3833,1,871.845.1665,2,1
362,2,378.328.8028,1,621.761.5998,3,25
363,2,378.328.8028,1,871.845.7438,2,28
364,2,378.328.8028,1,871.845.4869,2,1
365,2,378.328.8028,1,621.761.9826,3,20
366,2,378.328.8028,1,378.328.2622,1,16
367,2,378.328.7314,1,378.328.6156,1,19
368,2,378.328.7314,1,621.761.9826,3,31
369,2,378.328.7314,1,871.845.4869,2,34
370,2,378.328.7314,1,621.761.4646,3,20
371,2,378.328.7314,1,621.761.8274,3,31
372,2,378.328.7314,1,378.328.4468,1,25
373,2,378.328.7314,1,378.328.7180,1,15
374,2,378.328.4468,1,871.845.7438,2,1
375,2,378.328.4468,1,378.328.2922,1,18
376,2,378.328.4468,1,378.328.5646,1,26
377,2,378.328.4468,1,378.328.3833,1,1
378,2,378.328.4468,1,378.328.1590,1,1
379,2,378.328.4468,1,621.761.2041,3,18
380,2,378.328.4468,1,871.845.3092,2,19
381,2,378.328.8023,1,621.761.8354,3,24
382,2,378.328.8023,1,871.845.1665,2,34
383,2,378.328.8023,1,378.328.5646,1,25
384,2,378.328.8023,1,378.328.2622,1,1
385,2,378.328.8023,1,621.761.9229,3,23
386,2,378.328.8023,1,378.328.5698,1,18
387,2,378.328.8023,1,621.761.6485,3,38
388,2,378.328.2922,1,378.328.2622,1,1
389,2,378.328.2922,1,871.845.9600,2,27
390,2,378.328.2922,1,871.845.4502,2,28
391,2,378.328.7888,1,621.761.2920,3,26
392,2,378.328.7888,1,378.328.1620,1,19
393,2,378.328.7888,1,621.761.5998,3,26
394,2,378.328.7888,1,378.328.1411,1,30
395,2,378.328.7888,1,378.328.4804,1,27
396,2,378.328.7888,1,871.845.5897,2,1
397,2,378.328.7888,1,621.761.2041,3,24
398,2,378.328.6114,1,621.761.2041,3,1
399,2,378.328.6114,1,871.845.6647,2,21
400,2,378.328.6114,1,621.761.8354,3,23
401,2,378.328.6114,1,621.761.9229,3,20
402,2,378.328.6114,1,871.845.5897,2,18
403,2,378.328.6114,1,871.845.7438,2,26
404,2,378.328.6156,1,621.761.2041,3,49
405,2,378.328.6156,1,621.761.9229,3,27
406,2,378.328.6156,1,378.328.3335,1,1
407,2,378.328.3316,1,621.761.8274,3,19
408,2,378.328.3316,1,621.761.9229,3,22
409,2,378.328.3316,1,621.761.9529,3,21
410,2,378.328.3316,1,621.761.9229,3,25
411,2,378.328.3316,1,871.845.1665,2,21
412,2,378.328.4722,1,378.328.5646,1,20
413,2,378.328.4722,1,871.845.6647,2,15
414,2,378.328.4722,1,871.845.6647,2,1
415,2,378.328.4722,1,378.328.5698,1,15
416,2,378.328.4722,1,871.845.3092,2,22
417,2,378.328.4722,1,621.761.6485,3,26
418,2,378.328.1672,1,621.761.2794,3,22
419,2,378.328.1672,1,378.328.6114,1,16
420,2,378.328.1672,1,621.761.8354,3,30
421,2,378.328.5698,1,378.328.1590,1,14
422,2,378.328.5698,1,621.761.8274,3,22
423,2,378.328.5698,1,378.328.2622,1,21
424,2,378.328.1240,1,621.761.6485,3,22
425,2,378.328.1240,1,621.761.2920,3,18
