"","date","sender","sender.carrier","receiver","receiver.carrier","length.call"
"1",1,"303.579.3831","1","715.855.4149","3",13
"2",1,"303.579.3831","1","715.855.4149","3",1
"3",1,"303.579.3831","1","715.855.8913","3",18
"4",1,"303.579.3831","1","201.848.4553","2",24
"5",1,"303.579.3831","1","201.848.7217","2",43
"6",1,"303.579.3831","1","201.848.3896","2",21
"7",1,"303.579.4650","1","715.855.2472","3",32
"8",1,"303.579.4650","1","715.855.1191","3",26
"9",1,"303.579.4650","1","715.855.7910","3",28
"10",1,"303.579.4650","1","715.855.9109","3",20
"11",1,"303.579.4650","1","303.579.4963","1",25
"12",1,"303.579.4650","1","303.579.7430","1",14
"13",1,"303.579.4650","1","303.579.5313","1",27
"14",1,"303.579.4650","1","303.579.6368","1",24
"15",1,"303.579.4650","1","303.579.6368","1",1
"16",1,"303.579.4650","1","303.579.3247","1",1
"17",1,"303.579.2647","1","715.855.4149","3",25
"18",1,"303.579.2647","1","303.579.8574","1",26
"19",1,"303.579.2647","1","303.579.4242","1",19
"20",1,"303.579.2647","1","201.848.9659","2",14
"21",1,"303.579.2647","1","303.579.5670","1",26
"22",1,"303.579.1986","1","201.848.3896","2",21
"23",1,"303.579.1986","1","715.855.2759","3",22
"24",1,"303.579.1986","1","715.855.7910","3",23
"25",1,"303.579.1986","1","201.848.9434","2",19
"26",1,"303.579.5313","1","303.579.1547","1",24
"27",1,"303.579.5313","1","201.848.2591","2",22
"28",1,"303.579.6859","1","303.579.8488","1",30
"29",1,"303.579.6859","1","201.848.2591","2",24
"30",1,"303.579.6859","1","715.855.1647","3",24
"31",1,"303.579.6859","1","201.848.9659","2",25
"32",1,"303.579.6859","1","715.855.1191","3",25
"33",1,"303.579.6859","1","715.855.6576","3",39
"34",1,"303.579.6859","1","303.579.1547","1",26
"35",1,"303.579.1990","1","715.855.1048","3",1
"36",1,"303.579.1990","1","201.848.2591","2",17
"37",1,"303.579.1990","1","201.848.1922","2",1
"38",1,"303.579.1990","1","303.579.5670","1",1
"39",1,"303.579.1990","1","201.848.9434","2",22
"40",1,"303.579.1547","1","303.579.4650","1",25
"41",1,"303.579.1547","1","201.848.7217","2",15
"42",1,"303.579.1547","1","715.855.5625","3",21
"43",1,"303.579.1547","1","201.848.3896","2",17
"44",1,"303.579.1547","1","715.855.4683","3",41
"45",1,"303.579.1547","1","715.855.2472","3",17
"46",1,"303.579.1547","1","715.855.2472","3",1
"47",1,"303.579.1547","1","303.579.4963","1",19
"48",1,"303.579.4963","1","201.848.9659","2",1
"49",1,"303.579.4963","1","303.579.5670","1",26
"50",1,"303.579.4963","1","303.579.1547","1",16
"51",1,"303.579.4963","1","303.579.4242","1",17
"52",1,"303.579.4963","1","715.855.1647","3",25
"53",1,"303.579.2383","1","303.579.5670","1",1
"54",1,"303.579.2383","1","715.855.7910","3",30
"55",1,"303.579.2383","1","715.855.2472","3",24
"56",1,"303.579.2383","1","303.579.3389","1",28
"57",1,"303.579.2383","1","715.855.9109","3",20
"58",1,"303.579.6223","1","303.579.2647","1",20
"59",1,"303.579.6223","1","303.579.2383","1",22
"60",1,"303.579.6223","1","303.579.5503","1",24
"61",1,"303.579.6223","1","715.855.7108","3",36
"62",1,"303.579.6223","1","201.848.9659","2",1
"63",1,"303.579.6223","1","303.579.5503","1",1
"64",1,"303.579.4242","1","715.855.9112","3",31
"65",1,"303.579.4242","1","201.848.1004","2",18
"66",1,"303.579.4242","1","303.579.3831","1",15
"67",1,"303.579.4242","1","303.579.5503","1",18
"68",1,"303.579.4242","1","201.848.2591","2",30
"69",1,"303.579.3352","1","303.579.1547","1",35
"70",1,"303.579.3352","1","715.855.7980","3",20
"71",1,"303.579.3352","1","715.855.7980","3",1
"72",1,"303.579.3352","1","303.579.5503","1",26
"73",1,"303.579.3352","1","715.855.4149","3",1
"74",1,"303.579.3352","1","303.579.5313","1",15
"75",1,"303.579.3352","1","201.848.3896","2",28
"76",1,"303.579.3352","1","715.855.6576","3",22
"77",1,"303.579.3352","1","201.848.2591","2",18
"78",1,"303.579.1975","1","303.579.5670","1",28
"79",1,"303.579.1975","1","201.848.9434","2",21
"80",1,"303.579.1975","1","303.579.4963","1",34
"81",1,"303.579.1975","1","201.848.9434","2",19
"82",1,"303.579.1975","1","715.855.6576","3",30
"83",1,"303.579.1975","1","715.855.5625","3",26
"84",1,"303.579.1975","1","303.579.8574","1",19
"85",1,"303.579.1975","1","303.579.1320","1",29
"86",1,"303.579.1975","1","715.855.2472","3",1
"87",1,"303.579.1975","1","715.855.7980","3",1
"88",1,"303.579.3247","1","303.579.6082","1",39
"89",1,"303.579.3247","1","715.855.1703","3",26
"90",1,"303.579.3247","1","303.579.4650","1",31
"91",1,"303.579.3247","1","201.848.2591","2",20
"92",1,"303.579.3247","1","303.579.2647","1",24
"93",1,"303.579.3247","1","201.848.2591","2",23
"94",1,"303.579.7430","1","303.579.4174","1",27
"95",1,"303.579.7430","1","715.855.7108","3",15
"96",1,"303.579.7430","1","303.579.7836","1",27
"97",1,"303.579.7430","1","715.855.7910","3",24
"98",1,"303.579.7430","1","715.855.5441","3",16
"99",1,"303.579.7430","1","303.579.4963","1",34
"100",1,"303.579.7836","1","303.579.6368","1",24
"101",1,"303.579.7836","1","201.848.7217","2",22
"102",1,"303.579.7836","1","303.579.2383","1",22
"103",1,"303.579.8574","1","715.855.9109","3",14
"104",1,"303.579.8574","1","715.855.2472","3",32
"105",1,"303.579.8574","1","715.855.1191","3",23
"106",1,"303.579.8574","1","303.579.9383","1",24
"107",1,"303.579.8574","1","303.579.1547","1",31
"108",1,"303.579.8574","1","303.579.6368","1",19
"109",1,"303.579.8488","1","303.579.4963","1",22
"110",1,"303.579.8488","1","715.855.9112","3",17
"111",1,"303.579.8488","1","303.579.4242","1",26
"112",1,"303.579.8488","1","201.848.4553","2",19
"113",1,"303.579.8488","1","715.855.1191","3",23
"114",1,"303.579.8488","1","715.855.8913","3",1
"115",1,"303.579.9383","1","303.579.6082","1",21
"116",1,"303.579.9383","1","303.579.1547","1",22
"117",1,"303.579.9383","1","715.855.6576","3",27
"118",1,"303.579.9383","1","715.855.9112","3",1
"119",1,"303.579.3389","1","303.579.6859","1",1
"120",1,"303.579.3389","1","201.848.9434","2",39
"121",1,"303.579.3389","1","201.848.9434","2",28
"122",1,"303.579.3389","1","303.579.2647","1",27
"123",1,"303.579.5503","1","303.579.4650","1",20
"124",1,"303.579.5503","1","303.579.5497","1",20
"125",1,"303.579.5503","1","303.579.1547","1",21
"126",1,"303.579.5503","1","715.855.7108","3",31
"127",1,"303.579.5503","1","303.579.1547","1",1
"128",1,"303.579.5503","1","303.579.6368","1",28
"129",1,"303.579.5503","1","715.855.2472","3",1
"130",1,"303.579.6082","1","201.848.7217","2",33
"131",1,"303.579.6082","1","715.855.1647","3",27
"132",1,"303.579.6082","1","303.579.2383","1",1
"133",1,"303.579.6082","1","303.579.4650","1",1
"134",1,"303.579.4174","1","715.855.8913","3",19
"135",1,"303.579.4174","1","303.579.7836","1",18
"136",1,"303.579.4174","1","303.579.5497","1",21
"137",1,"303.579.4174","1","715.855.7980","3",26
"138",1,"303.579.4174","1","715.855.9109","3",32
"139",1,"303.579.4174","1","715.855.7108","3",1
"140",1,"303.579.4174","1","303.579.5670","1",16
"141",1,"303.579.7875","1","303.579.4650","1",1
"142",1,"303.579.7875","1","303.579.3352","1",22
"143",1,"303.579.7875","1","303.579.4963","1",29
"144",1,"303.579.7875","1","715.855.8913","3",27
"145",1,"303.579.7875","1","715.855.1647","3",1
"146",1,"303.579.7875","1","715.855.6576","3",1
"147",1,"303.579.7875","1","715.855.2472","3",1
"148",1,"303.579.7875","1","303.579.4242","1",23
"149",1,"303.579.7875","1","715.855.1647","3",26
"150",1,"303.579.5497","1","201.848.9659","2",25
